step,learned_active_mean_injuries,exact_active_mean_injuries,exact_action_agreement_rate,mean_zero_visit_posterior_mass_selected_action,mean_weighted_Q_rmse,posterior_unchanged_rate,mean_posterior_entropy
1,0.0,0.0,1.0,0.0,0.003162028984152603,1.0,3.295836866004329
2,0.658,0.658,1.0,0.0,0.013983745680543511,0.342,3.295836866004329
3,0.78,0.78,1.0,0.0,0.01078572506587479,0.878,2.5729499800607125
4,0.909,0.909,0.493,0.0,0.022017963032379757,0.827,2.4389192808432036
5,0.944,0.944,0.732,0.0,0.019053013885934625,0.934,2.2488593549036207
6,0.974,0.974,0.47,0.0,0.024956079560266457,0.917,2.176350943851525
7,0.986,0.986,0.679,0.0,0.02075089483677772,0.957,2.0851661238920722
8,0.993,0.993,0.555,0.0,0.02179755610333729,0.951,2.0379257954793433
9,0.999,0.999,0.643,0.0,0.020163960880356498,0.958,1.984093793334606
10,1.0,1.0,0.603,0.0,0.020847051647552437,0.963,1.9379520772105452
11,1.0,1.0,0.678,0.0,0.01887457436168237,0.966,1.8973034225298253
12,1.0,1.0,0.645,0.0,0.019472548590195825,0.958,1.8599506047151093
13,1.006,1.06,0.691,0.0,0.019061175942472617,0.958,1.813808888591049
14,1.021,1.18,0.697,0.0,0.01722343754982179,0.951,1.7676671724669883
15,1.039,1.357,0.71,0.0,0.01651387296881644,0.941,1.7138351703222512
16,1.071,1.52,0.736,0.0,0.01706012858980825,0.95,1.6490170452908326
17,1.102,1.641,0.755,0.0,0.014009453445937603,0.94,1.5940864308574274
18,1.133,1.748,0.76,0.0,0.014454358257867707,0.939,1.5281696935373406
19,1.175,1.824,0.765,0.0,0.013910950705800704,0.939,1.4611543439285861
20,1.202,1.886,0.786,0.0,0.01231787150960123,0.95,1.394138994319831
21,1.242,1.929,0.799,0.0,0.012170453467830059,0.94,1.3392083798864258
22,1.28,1.948,0.806,0.0,0.011067822306256631,0.945,1.2732916425663392
23,1.321,1.972,0.815,0.0,0.010700513267785634,0.943,1.2128679666895932
24,1.36,1.979,0.821,0.0,0.010175919817816315,0.938,1.1502470662355109
25,1.393,1.989,0.833,0.0,0.010220208809795376,0.952,1.082133104338088
26,1.429,1.993,0.85,0.0,0.008959578607146844,0.954,1.0293997144820186
27,1.455,1.993,0.846,0.0,0.00823605070553735,0.959,0.9788635492032858
28,1.482,1.994,0.853,0.0,0.00821811045261603,0.963,0.9338204453678932
29,1.511,1.998,0.865,0.0,0.007496127201412098,0.956,0.8931717906871732
30,1.54,1.998,0.868,0.0,0.007670164563041411,0.961,0.8448328499857765
31,1.567,1.998,0.869,0.0,0.006949813336598744,0.966,0.8019869707277201
32,1.583,1.999,0.875,0.0,0.006606748805139083,0.971,0.7646341529130044
33,1.602,2.0,0.879,0.0,0.0068630149153276,0.967,0.7327743965416292
34,1.621,2.0,0.883,0.0,0.006751712137795257,0.969,0.6965201910155815
35,1.643,2.0,0.897,0.0,0.0061051973215699076,0.969,0.6624632100668703
36,1.655,2.0,0.886,0.0,0.005898871879056049,0.972,0.6284062291181588
37,1.67,2.0,0.907,0.0,0.006332947948256368,0.974,0.5976450850354518
38,1.688,2.0,0.904,0.0,0.005630696037442249,0.971,0.5690811655300808
39,1.698,2.0,0.902,0.0,0.005312883852898137,0.986,0.5372214091587056
40,1.708,2.0,0.928,0.0,0.004203749067490405,0.986,0.5218408371173521
41,1.723,2.0,0.912,0.0,0.004362345957914553,0.974,0.5064602650759986
42,1.734,2.0,0.922,0.0,0.004522071152332758,0.986,0.47789634557062777
43,1.751,2.0,0.93,0.0,0.0035858448069493974,0.979,0.46251577352927414
44,1.758,2.0,0.922,0.0,0.003827686454739697,0.982,0.4394449154672439
45,1.766,2.0,0.94,0.0,0.0038688073454563538,0.984,0.4196698942712179
46,1.778,2.0,0.926,0.0,0.0041603603106778395,0.981,0.4020920976525281
47,1.791,2.0,0.949,0.0,0.0032232421754275356,0.978,0.3812184641678341
48,1.803,2.0,0.94,0.0,0.0036958120858378808,0.984,0.3570489938171356
49,1.811,2.0,0.948,0.0,0.0030432160564242143,0.986,0.33947119719844593
50,1.815,2.0,0.947,0.0,0.003207543945920318,0.991,0.3240906251570924
