model_index,model_label,final_mean,final_ci95,step_10,step_20,step_30,step_40,step_50
0,WWW,0.05,0.019363133293217986,0.01,0.016,0.037,0.048,0.05
1,WWE,0.05,0.019363133293217986,0.01,0.016,0.037,0.048,0.05
2,WWI,1.0,0.0,0.0,0.842,1.0,1.0,1.0
3,WEW,0.05,0.019363133293217986,0.01,0.016,0.037,0.048,0.05
4,WEE,0.05,0.019363133293217986,0.01,0.016,0.037,0.048,0.05
5,WEI,2.0,0.0,1.885,2.0,2.0,2.0,2.0
6,WIW,2.0,0.0,1.885,2.0,2.0,2.0,2.0
7,WIE,2.0,0.0,1.885,2.0,2.0,2.0,2.0
8,WII,2.0,0.0,1.885,2.0,2.0,2.0,2.0
9,EWW,0.05,0.019363133293217986,0.01,0.016,0.037,0.048,0.05
10,EWE,0.05,0.019363133293217986,0.01,0.016,0.037,0.048,0.05
11,EWI,0.737,0.027301401724749094,0.0,0.65,0.737,0.737,0.737
12,EEW,0.05,0.019363133293217986,0.01,0.016,0.037,0.048,0.05
13,EEE,0.05,0.019363133293217986,0.01,0.016,0.037,0.048,0.05
14,EEI,2.0,0.0,1.885,2.0,2.0,2.0,2.0
15,EIW,2.0,0.0,1.885,2.0,2.0,2.0,2.0
16,EIE,2.0,0.0,1.885,2.0,2.0,2.0,2.0
17,EII,2.0,0.0,1.885,2.0,2.0,2.0,2.0
18,IWW,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,IWE,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,IWI,0.046,0.014125051911107897,0.0,0.04,0.046,0.046,0.046
21,IEW,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,IEE,1.974,0.014048617086462224,1.877,1.974,1.974,1.974,1.974
23,IEI,2.0,0.0,1.885,2.0,2.0,2.0,2.0
24,IIW,1.0,0.0,0.965,1.0,1.0,1.0,1.0
25,IIE,2.0,0.0,1.885,2.0,2.0,2.0,2.0
26,III,2.0,0.0,1.885,2.0,2.0,2.0,2.0
